ccode,country,year,age,gender,status,urban,population,education,sector,sector_group,informal
BEN,Benin,2016,34,female,unemployed,rural,193.0,,,,
BEN,Benin,2016,34,female,unemployed,urban,431.0,,,,
BEN,Benin,2016,34,male,employed,urban,27442.0,,,,
BEN,Benin,2016,34,male,employed,rural,31116.0,,,,
BEN,Benin,2016,34,male,unemployed,rural,144.0,,,,
BEN,Benin,2016,34,male,unemployed,urban,556.0,,,,
BEN,Benin,2016,35,female,employed,urban,19005.0,,,,
BEN,Benin,2016,35,female,employed,rural,24832.0,,,,
BEN,Benin,2016,35,female,unemployed,rural,184.0,,,,
BEN,Benin,2016,35,female,unemployed,urban,411.0,,,,
BEN,Benin,2016,35,male,employed,rural,29680.0,,,,
BEN,Benin,2016,35,male,employed,urban,26175.0,,,,
BEN,Benin,2016,35,male,unemployed,urban,530.0,,,,
BEN,Benin,2016,35,male,unemployed,rural,138.0,,,,
BEN,Benin,2017,15,female,employed,rural,14830.0,,,,
BEN,Benin,2017,15,female,employed,urban,11466.0,,,,
BEN,Benin,2017,15,female,unemployed,rural,463.0,,,,
BEN,Benin,2017,15,female,unemployed,urban,838.0,,,,
BEN,Benin,2017,15,male,employed,urban,11748.0,,,,
BEN,Benin,2017,15,male,employed,rural,13357.0,,,,
BEN,Benin,2017,15,male,unemployed,rural,310.0,,,,
BEN,Benin,2017,15,male,unemployed,urban,589.0,,,,
BEN,Benin,2017,16,female,employed,urban,16828.0,,,,
BEN,Benin,2017,16,female,employed,rural,21763.0,,,,
BEN,Benin,2017,16,female,unemployed,urban,1229.0,,,,
BEN,Benin,2017,16,female,unemployed,rural,681.0,,,,
BEN,Benin,2017,16,male,employed,urban,17328.0,,,,
BEN,Benin,2017,16,male,employed,rural,19701.0,,,,
BEN,Benin,2017,16,male,unemployed,urban,869.0,,,,
BEN,Benin,2017,16,male,unemployed,rural,457.0,,,,
BEN,Benin,2017,17,female,employed,urban,20252.0,,,,
BEN,Benin,2017,17,female,employed,rural,26193.0,,,,
BEN,Benin,2017,17,female,unemployed,rural,819.0,,,,
BEN,Benin,2017,17,female,unemployed,urban,1479.0,,,,
BEN,Benin,2017,17,male,employed,rural,23541.0,,,,
BEN,Benin,2017,17,male,employed,urban,20706.0,,,,
BEN,Benin,2017,17,male,unemployed,urban,1037.0,,,,
BEN,Benin,2017,17,male,unemployed,rural,547.0,,,,
BEN,Benin,2017,18,female,employed,rural,26771.0,,,,
BEN,Benin,2017,18,female,employed,urban,20699.0,,,,
BEN,Benin,2017,18,female,unemployed,urban,1512.0,,,,
BEN,Benin,2017,18,female,unemployed,rural,837.0,,,,
BEN,Benin,2017,18,male,employed,urban,20852.0,,,,
BEN,Benin,2017,18,male,employed,rural,23709.0,,,,
BEN,Benin,2017,18,male,unemployed,urban,1045.0,,,,
BEN,Benin,2017,18,male,unemployed,rural,550.0,,,,
BEN,Benin,2017,19,female,employed,rural,24075.0,,,,
BEN,Benin,2017,19,female,employed,urban,18614.0,,,,
BEN,Benin,2017,19,female,unemployed,urban,1359.0,,,,
BEN,Benin,2017,19,female,unemployed,rural,753.0,,,,
BEN,Benin,2017,19,male,employed,rural,21370.0,,,,
BEN,Benin,2017,19,male,employed,urban,18797.0,,,,
BEN,Benin,2017,19,male,unemployed,urban,941.0,,,,
BEN,Benin,2017,19,male,unemployed,rural,497.0,,,,
BEN,Benin,2017,20,female,employed,urban,17274.0,,,,
BEN,Benin,2017,20,female,employed,rural,22341.0,,,,
BEN,Benin,2017,20,female,unemployed,urban,1262.0,,,,
BEN,Benin,2017,20,female,unemployed,rural,698.0,,,,
BEN,Benin,2017,20,male,employed,urban,17622.0,,,,
BEN,Benin,2017,20,male,employed,rural,20035.0,,,,
BEN,Benin,2017,20,male,unemployed,urban,882.0,,,,
BEN,Benin,2017,20,male,unemployed,rural,466.0,,,,
BEN,Benin,2017,21,female,employed,rural,20415.0,,,,
BEN,Benin,2017,21,female,employed,urban,15785.0,,,,
BEN,Benin,2017,21,female,unemployed,urban,1153.0,,,,
BEN,Benin,2017,21,female,unemployed,rural,638.0,,,,
BEN,Benin,2017,21,male,employed,urban,16006.0,,,,
BEN,Benin,2017,21,male,employed,rural,18199.0,,,,
BEN,Benin,2017,21,male,unemployed,urban,801.0,,,,
BEN,Benin,2017,21,male,unemployed,rural,423.0,,,,
BEN,Benin,2017,22,female,employed,urban,14594.0,,,,
BEN,Benin,2017,22,female,employed,rural,18874.0,,,,
BEN,Benin,2017,22,female,unemployed,urban,1066.0,,,,
BEN,Benin,2017,22,female,unemployed,rural,590.0,,,,
BEN,Benin,2017,22,male,employed,rural,16529.0,,,,
BEN,Benin,2017,22,male,employed,urban,14538.0,,,,
BEN,Benin,2017,22,male,unemployed,rural,384.0,,,,
BEN,Benin,2017,22,male,unemployed,urban,728.0,,,,
BEN,Benin,2017,23,female,employed,urban,13998.0,,,,
BEN,Benin,2017,23,female,employed,rural,18104.0,,,,
BEN,Benin,2017,23,female,unemployed,rural,566.0,,,,
BEN,Benin,2017,23,female,unemployed,urban,1023.0,,,,
BEN,Benin,2017,23,male,employed,rural,16028.0,,,,
BEN,Benin,2017,23,male,employed,urban,14097.0,,,,
BEN,Benin,2017,23,male,unemployed,urban,706.0,,,,
BEN,Benin,2017,23,male,unemployed,rural,372.0,,,,
BEN,Benin,2017,24,female,employed,urban,13850.0,,,,
BEN,Benin,2017,24,female,employed,rural,17911.0,,,,
BEN,Benin,2017,24,female,unemployed,rural,560.0,,,,
BEN,Benin,2017,24,female,unemployed,urban,1012.0,,,,
BEN,Benin,2017,24,male,employed,rural,15861.0,,,,
BEN,Benin,2017,24,male,employed,urban,13951.0,,,,
BEN,Benin,2017,24,male,unemployed,rural,368.0,,,,
BEN,Benin,2017,24,male,unemployed,urban,699.0,,,,
BEN,Benin,2017,25,female,employed,urban,27679.0,,,,
BEN,Benin,2017,25,female,employed,rural,35578.0,,,,
BEN,Benin,2017,25,female,unemployed,urban,519.0,,,,
BEN,Benin,2017,25,female,unemployed,rural,236.0,,,,
BEN,Benin,2017,25,male,employed,rural,43865.0,,,,
BEN,Benin,2017,25,male,employed,urban,39354.0,,,,
BEN,Benin,2017,25,male,unemployed,rural,177.0,,,,
BEN,Benin,2017,25,male,unemployed,urban,683.0,,,,
BEN,Benin,2017,26,female,employed,urban,26776.0,,,,
BEN,Benin,2017,26,female,employed,rural,34418.0,,,,
BEN,Benin,2017,26,female,unemployed,urban,502.0,,,,
BEN,Benin,2017,26,female,unemployed,rural,228.0,,,,
BEN,Benin,2017,26,male,employed,urban,38084.0,,,,
BEN,Benin,2017,26,male,employed,rural,42451.0,,,,
BEN,Benin,2017,26,male,unemployed,urban,661.0,,,,
BEN,Benin,2017,26,male,unemployed,rural,171.0,,,,
BEN,Benin,2017,27,female,employed,urban,26175.0,,,,
BEN,Benin,2017,27,female,employed,rural,33644.0,,,,
BEN,Benin,2017,27,female,unemployed,urban,491.0,,,,
BEN,Benin,2017,27,female,unemployed,rural,223.0,,,,
BEN,Benin,2017,27,male,employed,urban,36391.0,,,,
BEN,Benin,2017,27,male,employed,rural,40564.0,,,,
BEN,Benin,2017,27,male,unemployed,urban,631.0,,,,
BEN,Benin,2017,27,male,unemployed,rural,164.0,,,,
BEN,Benin,2017,28,female,employed,rural,32097.0,,,,
BEN,Benin,2017,28,female,employed,urban,24972.0,,,,
BEN,Benin,2017,28,female,unemployed,rural,214.0,,,,
BEN,Benin,2017,28,female,unemployed,urban,467.0,,,,
BEN,Benin,2017,28,male,employed,rural,38677.0,,,,
BEN,Benin,2017,28,male,employed,urban,34699.0,,,,
BEN,Benin,2017,28,male,unemployed,rural,156.0,,,,
BEN,Benin,2017,28,male,unemployed,urban,602.0,,,,
BEN,Benin,2017,29,female,employed,urban,24069.0,,,,
BEN,Benin,2017,29,female,employed,rural,30937.0,,,,
BEN,Benin,2017,29,female,unemployed,rural,205.0,,,,
BEN,Benin,2017,29,female,unemployed,urban,451.0,,,,
